# Photon Map Export
VERSION 1
GLOBAL_COUNT 37267
CAUSTIC_COUNT 9342

GLOBAL_PHOTONS
# pos_x,pos_y,pos_z,power_r,power_g,power_b,dir_x,dir_y,dir_z
551.029968,161.469116,559.200012,0.000000,0.000000,0.000900,-0.059998,-0.656562,0.751882
44.526443,0.000017,205.776733,0.000900,0.000000,0.000000,0.190101,-0.665963,-0.721356
300.479828,548.799988,529.412842,0.000800,0.000800,0.000800,-0.672378,0.248050,-0.697409
-0.000001,548.406433,90.662514,0.000000,0.000000,0.000900,-0.863976,0.382621,-0.327334
-0.000025,467.163208,184.755341,0.000000,0.000000,0.000900,-0.809005,0.379578,-0.448811
257.505646,299.766083,559.200012,0.000000,0.000000,0.000900,-0.770566,0.192596,0.607565
-0.000005,219.618774,493.415283,0.000000,0.000000,0.000900,-0.995676,0.091892,0.013590
476.618683,548.799988,299.760834,0.000800,0.000800,0.000800,0.491712,0.802279,-0.338479
102.382309,548.799988,540.745667,0.000800,0.000800,0.000800,-0.752560,0.609015,-0.250507
96.047287,336.560944,559.200012,0.000000,0.000000,0.000900,-0.773312,0.109642,0.624474
556.000000,107.851913,327.667206,0.000800,0.000800,0.000800,0.649375,-0.587636,-0.482696
504.551727,548.799988,397.033508,0.000000,0.000000,0.000900,-0.451200,0.822718,0.345766
556.000000,204.990005,528.758362,0.000800,0.000800,0.000800,0.579646,-0.690835,-0.432155
-0.000002,453.595978,194.058411,0.000800,0.000800,0.000800,-0.553108,-0.074447,-0.829776
221.610626,293.499390,559.200012,0.000000,0.000000,0.000900,-0.874377,0.438552,0.207696
50.573059,548.799988,400.891541,0.000900,0.000000,0.000000,0.190832,0.915169,0.355033
48.231464,0.000002,504.209656,0.000800,0.000800,0.000800,-0.325653,-0.572041,-0.752808
78.957619,-0.000001,523.277527,0.000800,0.000800,0.000800,-0.074185,-0.993413,-0.087337
287.979614,548.799988,47.083595,0.000800,0.000800,0.000800,0.369999,0.596247,-0.712454
218.546951,548.800049,22.847523,0.000800,0.000800,0.000800,-0.271305,0.959463,-0.076314
0.000003,304.514374,396.479309,0.000000,0.000000,0.000900,-0.991423,0.121551,-0.048010
323.451660,510.536957,559.200012,0.000000,0.000000,0.000900,-0.381757,0.637181,0.669524
556.000000,326.804230,224.052704,0.000800,0.000800,0.000800,0.584783,0.138335,-0.799307
97.492722,0.000002,264.427094,0.000900,0.000000,0.000000,0.645995,-0.761502,0.052968
